"Id","POINT_X","POINT_Y","width_m","date","why","slp_dg_sav","ele_mt_sav","dis_m3_pyr","dis_m3_pmn","dis_m3_pmx","RASTERVALU"
263,-105.7607627,41.15534192,1.53,"7/27/2015"," ",4,2215,0.562,0.174,1.823,352.506958007812
264,-106.4335285,42.93077868,2.76,"9/1/2019"," ",9,1623,2.401,0.219,11.406,1517.4677734375
265,-108.5086259,48.9405436,3.26,"7/8/2014"," ",11,911,0.189,0.096,0.57,731.005493164062
266,-106.5434994,41.03377841,12.65,"9/12/2014"," ",81,2641,0.605,0.228,1.92,273.371276855469
267,-108.1798866,42.54262337,13.68,"8/1/2013"," ",20,2058,11.446,0.822,57.955,2330.54833984375
269,-104.9678091,39.71511979,5.93,"6/10/2021"," ",14,1701,0.969,0.225,2.82,1051.783203125
270,-107.7659867,43.28026456,9.55,"6/24/2017"," ",29,1661,3.518,0.486,16.854,1597.81958007812
271,-107.343578,43.87500334,2.99,"7/1/2014"," ",54,1502,0.498,0.051,2.244,251.572128295898
272,-105.7815262,39.0163279,10.16,"10/14/2017"," ",36,2736,1.249,0.342,4.75,1032.32788085938
274,-104.6760029,41.47292246,4.12,"9/27/2013"," ",18,1765,1.467,0,12.543,697.163269042969
275,-110.4651913,47.88502201,123.99,"9/11/2013"," ",23,923,249.108,75.442,564.035,63685.28125
277,-104.3719033,44.85975592,11.42,"8/31/2013"," ",33,1134,16.5,2.108,78.024,7755.3623046875
278,-103.4864928,45.23909231,2.52,"8/4/2016"," ",14,920,0.527,0.093,2.702,197.060638427734
279,-102.3958683,45.30173573,9.53,"9/27/2016"," ",18,773,3.896,0.597,23.137,1545.44604492188
280,-103.8784432,45.84988236,16.35,"9/6/2014"," ",15,931,11.865,1.756,54.756,6205.11669921875
281,-103.0355642,45.75473992,3.32,"8/1/2015"," ",20,858,0.887,0.133,5.403,338.558471679688
282,-104.3927758,46.03864912,2.17,"9/6/2014"," ",16,1000,1.042,0.149,5.699,570.594604492188
283,-102.3404589,46.11556688,14.35,"10/18/2014"," ",14,762,3.457,0.4,22.547,1685.25549316406
284,-103.4899468,46.53576414,5.52,"5/29/2017"," ",23,862,0.278,0.058,1.39,167.049407958984
286,-103.0539089,47.02384337,13.48,"5/30/2017"," ",11,789,0.886,0.064,6.094,400.269012451172
287,-103.4608841,47.30234008,3.93,"5/29/2017"," ",39,752,0.335,0.029,2.253,171.520767211914
288,-102.7581659,47.80773357,2.86,"9/28/2016"," ",39,673,0.407,0.142,2.155,265.040344238281
289,-102.7430565,48.29158991,6.87,"5/7/2016"," ",22,689,1.52,0.87,4.816,2214.7001953125
290,-110.6120821,48.19942663,53.57,"4/10/2016"," ",30,924,38.348,20.363,74.079,16574.619140625
292,-108.2285736,48.38193725,13.57,"7/8/2014"," ",12,762,10.157,2.805,46.513,29953.97265625
293,-110.9736798,45.67257624,4.59,"6/17/2021"," ",110,1827,1.801,0.511,4.734,218.22492980957
294,-108.0626746,45.46736133,3.79,"8/18/2019"," ",31,1145,1.332,0.305,4.972,277.056671142578
295,-103.7798218,39.55769914,2.69,"6/13/2017"," ",20,1543,0.092,0.018,0.525,198.696533203125
296,-103.6111438,40.23045854,2.33,"3/19/2016"," ",6,1327,0.812,0.156,4.424,2773.90893554688
297,-103.1157347,40.74441936,1.69,"10/15/2015"," ",11,1249,39.667,13.524,102.032,122.33081817627
299,-103.0482443,42.44756321,6.93,"9/25/2013"," ",17,1242,2.706,0.283,11.93,3852.63452148438
300,-102.8303678,43.17780887,6.77,"10/15/2013"," ",22,963,0.291,0.062,1.026,253.575897216797
301,-102.8239542,43.21725824,15.69,"10/15/2013"," ",16,902,5.034,1.166,15.973,5127.96875
303,-110.3928547,45.67657791,4.75,"9/9/2013"," ",143,1913,0.975,0.31,2.366,110.750625610352
304,-111.2203432,46.85037001,27.11,"7/24/2014"," ",126,1602,15.061,3.333,40.583,2860.95190429688
305,-111.6030197,48.14011371,4.82,"4/29/2014"," ",5,1021,0.919,0.471,2.238,673.572814941406
306,-111.3885211,48.50429444,2.17,"4/10/2016"," ",8,996,1.136,0.463,2.7,1204.41052246094
307,-111.5027174,47.43053792,131.14,"8/25/2014"," ",14,1052,187.763,55.975,465.503,48202.4140625
308,-109.5904969,47.49536294,32.14,"7/1/2014"," ",53,1048,4.698,0.655,24.947,5396.23095703125
309,-109.6237627,48.69881852,11.35,"7/30/2015"," ",8,820,1.092,0.365,4.963,403.103240966797
310,-110.0390793,46.36758922,2.63,"8/1/2016"," ",34,1547,0.493,0.185,1.128,220.932876586914
311,-108.0582489,44.47043506,10.56,"9/13/2014"," ",19,1219,4.843,0.876,12.218,2964.47802734375
312,-108.34052,46.91845079,2.11,"3/18/2016"," ",17,925,0.108,0.021,0.583,516.504577636719
314,-111.3555288,44.85265189,62.07,"7/19/2014"," ",134,2397,25.348,6.071,96.663,2484.787109375
315,-108.3384576,43.03437784,48.97,"5/2/2014"," ",17,1559,31.917,11.412,65.533,11056.263671875
316,-109.0624054,46.29916718,25.81,"7/3/2012"," ",21,1126,4.188,1.225,15.812,6889.54052734375
317,-108.917576,47.04949412,4.61,"7/1/2013"," ",31,1173,0.175,0.022,1.234,226.822723388672
318,-109.5455488,43.82096511,10.49,"7/4/2009"," ",202,3015,1.071,0.285,3.139,150.834869384766
319,-109.5325431,43.64757283,32.62,"7/22/2014"," ",95,2396,1.519,0.331,4.324,469.77685546875
320,-111.4721827,45.95087395,115.24,"6/17/2021"," ",78,1423,152.437,43.536,382.298,36298.0546875
321,-109.9809821,44.12593811,73.87,"6/29/2014"," ",144,2740,2.414,0.585,8.512,410.627105712891
323,-111.4820271,45.87254131,6.15,"6/17/2021"," ",36,1370,0.686,0.167,1.671,102.578384399414
324,-112.4067542,46.78730933,4.72,"7/25/2014"," ",146,1750,0.837,0.286,1.748,117.068290710449
325,-109.0617203,43.96812906,33.18,"6/26/2015"," ",107,2289,1.271,0.057,3.223,425.984802246094
326,-109.0377698,42.80831977,25.75,"6/28/2014"," ",171,3159,0.766,0.442,1.695,124.149917602539
327,-112.3603765,48.26754495,5.34,"7/26/2014"," ",12,1199,2.018,1.124,4.324,370.907165527344
328,-112.7661551,48.95182656,10.81,"7/26/2014"," ",22,1309,2.545,1.991,3.743,799.20068359375
329,-112.5339738,45.32231202,5.16,"4/29/2014"," ",60,1868,0.437,0.128,0.899,114.20174407959
330,-99.4742782,38.74691436,7.2,"4/24/2016"," ",10,636,4.186,1.019,29.213,14163.7265625
332,-99.12718986,39.09401992,14.2,"4/24/2016"," ",21,594,2.075,0.357,12.911,3315.61083984375
333,-99.9800397,39.11666132,3.54,"6/26/2021"," ",11,733,0.921,0.187,5.601,1681.28564453125
335,-99.70422229,39.64672351,5.12,"10/14/2019"," ",17,658,1.355,0.316,7.365,1756.06945800781
339,-99.85982475,40.28771087,17,"4/19/2017"," ",16,690,9.464,2.943,34.336,39097.5859375
341,-100.3109135,40.98113492,22.26,"4/19/2017"," ",19,825,98.804,26.842,281.376,147715.25
342,-108.6234349,43.73252154,4.47,"10/24/2013"," ",54,1927,0.765,0.147,2.654,0.297921448945999
344,-112.6929313,45.50375072,9.12,"9/4/2014"," ",95,1850,10.988,4.11,19.827,6406.42333984375
345,-111.6759791,45.12234391,52.98,"7/19/2014"," ",81,1988,39.71,10.31,141.489,4170.04052734375
346,-112.1601232,47.78986836,4.12,"8/25/2014"," ",13,1169,4.931,2.172,11.949,842.619079589844
347,-97.64389598,38.91016177,8.33,"4/8/2014"," ",10,393,12.226,3.812,51.619,7655.2939453125
348,-97.93988152,39.15303525,14.54,"6/12/2014"," ",16,436,2.184,0.789,7.183,805.932800292969
349,-98.20663216,39.47045327,7.79,"5/4/2014"," ",8,454,19.671,5.037,84.751,13941.037109375
350,-98.1206803,39.63672282,5.46,"5/4/2014"," ",9,467,0.749,0.278,2.289,193.952758789062
351,-98.2987549,39.87472226,2.79,"4/17/2014"," ",13,542,1.559,0.579,4.934,469.940185546875
352,-98.00783216,40.21274064,3.46,"4/17/2014"," ",11,540,0.697,0.302,1.861,148.17106628418
353,-98.61863766,40.31906964,4.52,"4/19/2017"," ",8,614,1.118,0.491,3.035,328.300323486328
354,-98.08245872,40.69166335,5.76,"4/21/2016"," ",5,556,1.358,0.651,3.359,314.90283203125
355,-97.29949577,40.97607731,6.08,"4/22/2016"," ",4,477,4.954,2.113,13.689,920.385192871094
356,-113.4261079,45.71036776,46.78,"7/30/2016"," ",39,1937,4.243,1.423,7.681,2749.86328125
357,-113.3543644,44.95785662,4.24,"6/30/2014"," ",108,2275,0.415,0.094,0.983,112.60920715332
358,-112.647552,45.20538003,6.05,"4/29/2014"," ",59,1834,3.555,1.074,7.961,1134.56872558594
359,-112.2669302,46.27020576,13.4,"7/25/2014"," ",132,2039,1.843,0.577,3.425,568.385803222656
360,-112.8838472,47.48980604,6.09,"7/9/2014"," ",184,2049,1.155,0.441,2.833,60.0611686706543
361,-113.1182042,48.42508935,19.25,"7/26/2014"," ",90,1626,6.477,2.577,15.162,276.917755126953
362,-105.4601201,39.13025718,10.18,"9/8/2016"," ",100,2760,1.932,0.779,6.675,1008.19122314453
363,-104.5971155,40.07263747,1.46,"10/9/2015"," ",9,1568,0.517,0.118,1.416,762.385864257812
364,-105.3965377,40.40752101,6.81,"4/11/2017"," ",139,2531,0.99,0.378,2.972,473.135131835938
365,-105.2433064,40.6967763,17.73,"9/7/2016"," ",81,1761,3.221,0.886,11.732,2720.10009765625
366,-105.9369083,41.36395622,1.45,"7/27/2015"," ",12,2243,1.583,0.406,5.75,445.846527099609
367,-106.2569109,41.96576528,8.69,"7/12/2016"," ",27,2056,5.579,0.554,32.674,2522.86279296875
368,-107.4930761,42.477616,16.55,"8/1/2013"," ",61,2091,15.725,1.092,79.621,5010.263671875
369,-104.9422097,42.96732625,2.91,"4/23/2014"," ",28,1512,0.448,0.063,2.163,240.017715454102
370,-106.6768294,43.32968737,6.24,"9/20/2013"," ",29,1665,1.998,0.183,11.298,1910.45031738281
372,-106.5502705,44.52236047,12.44,"7/25/2014"," ",49,1376,0.853,0.103,3.495,1040.34106445312
374,-106.1611857,45.4627087,16.95,"6/6/2016"," ",40,1003,1.998,0.197,9.361,1338.34729003906
375,-105.2950913,46.17391799,6.08,"7/2/2014"," ",28,833,2.2,0.384,10.143,1933.2333984375
